Network,Comment,ParentScope,Restricted
10.0.0.0/12,Cisco Labs,Default:Labs,TRUE
10.30.0.0/16,Cisco Labs,Default:Labs,TRUE
10.32.0.0/12,Cisco Labs,Default:Labs,TRUE
10.193.0.0/16,Cisco Labs,Default:Labs,TRUE
10.194.0.0/16,Cisco Labs,Default:Labs,TRUE
10.195.0.0/16,Cisco Labs,Default:Labs,TRUE
10.198.0.0/15,Cisco Labs,Default:Labs,TRUE
10.200.0.0/19,Cisco Labs,Default:Labs,TRUE
10.200.64.0/18,Cisco Labs,Default:Labs,TRUE
10.224.0.0/16,Cisco Labs,Default:Labs,TRUE
10.225.0.0/19,Cisco Labs,Default:Labs,TRUE
172.16.0.0/12,Cisco Labs,Default:Labs,TRUE
192.168.0.0/16,Cisco Labs,Default:Labs,TRUE
10.24.0.0/14,Cisco Remote Access,Default:Labs,TRUE
10.98.0.0/16,Cisco Remote Access,Default:Labs,TRUE
10.99.0.0/16,Cisco Remote Access,Default:Labs,TRUE
10.116.0.0/14,Cisco Remote Access,Default:Labs,TRUE
10.227.0.0/16,Cisco Remote Access,Default:Labs,TRUE
173.36.0.0/16,Cisco SJC DC,Default:Labs,TRUE
10.31.0.0/16,Cisco RCDN DC,Default:Labs,TRUE
10.101.0.0/17,Cisco RCDN DC,Default:Labs,TRUE
10.100.0.0/16,Cisco Webex DC,Default:Labs,TRUE
10.120.0.0/15,Cisco Webex DC,Default:Labs,TRUE
10.240.0.0/12,Cisco Webex DC,Default:Labs,TRUE
10.115.64.0/18,Cisco RTP DC,Default:Labs,TRUE
10.115.128.0/17,Cisco RTP DC,Default:Labs,TRUE
10.226.0.0/17,Cisco RTP DC,Default:Labs,TRUE
10.226.128.0/17,Cisco RTP DC,Default:Labs,TRUE
10.114.192.0/18,Cisco MTV DC,Default:Labs,TRUE
10.123.0.0/16,Cisco ALLN DC,Default:Labs,TRUE
10.16.0.0/13,Cisco Americas,Default:Labs,TRUE
10.28.0.0/16,Cisco Americas,Default:Labs,TRUE
10.29.0.0/16,Cisco Americas,Default:Labs,TRUE
10.80.0.0/13,Cisco Americas,Default:Labs,TRUE
10.88.0.0/15,Cisco Americas,Default:Labs,TRUE
10.90.0.0/16,Cisco Americas,Default:Labs,TRUE
10.91.0.0/16,Cisco Americas,Default:Labs,TRUE
10.92.0.0/16,Cisco Americas,Default:Labs,TRUE
10.93.0.0/16,Cisco Americas,Default:Labs,TRUE
10.94.0.0/16,Cisco Americas,Default:Labs,TRUE
10.95.0.0/16,Cisco Americas,Default:Labs,TRUE
10.96.0.0/16,Cisco Americas,Default:Labs,TRUE
10.97.0.0/16,Cisco Americas,Default:Labs,TRUE
10.101.128.0/17,Cisco Americas,Default:Labs,TRUE
10.114.128.0/18,Cisco Americas,Default:Labs,TRUE
10.115.0.0/18,Cisco Americas,Default:Labs,TRUE
10.122.0.0/16,Cisco Americas,Default:Labs,TRUE
10.201.0.0/16,Cisco Americas,Default:Labs,TRUE
10.204.0.0/14,Cisco Americas,Default:Labs,TRUE
10.225.128.0/17,Cisco Americas,Default:Labs,TRUE
64.100.0.0/15,Cisco Americas,Default:Labs,TRUE
64.102.0.0/16,Cisco Americas,Default:Labs,TRUE
72.163.0.0/17,Cisco Americas,Default:Labs,TRUE
161.44.0.0/16,Cisco Americas,Default:Labs,TRUE
171.68.0.0/16,Cisco Americas,Default:Labs,TRUE
10.64.0.0/12,Cisco APJ,Default:Labs,TRUE
10.104.0.0/13,Cisco APJ,Default:Labs,TRUE
10.196.0.0/16,Cisco APJ,Default:Labs,TRUE
10.197.0.0/16,Cisco APJ,Default:Labs,TRUE
10.126.0.0/16,Cisco APJ,Default:Labs,TRUE
10.127.0.0/16,Cisco APJ,Default:Labs,TRUE
10.225.64.0/18,Cisco APJ,Default:Labs,TRUE
10.232.0.0/14,Cisco APJ,Default:Labs,TRUE
64.104.0.0/16,Cisco APJ,Default:Labs,TRUE
72.163.128.0/17,Cisco APJ,Default:Labs,TRUE
10.48.0.0/12,Cisco EMEAR,Default:Labs,TRUE
10.113.0.0/16,Cisco EMEAR,Default:Labs,TRUE
10.208.0.0/12,Cisco EMEAR,Default:Labs,TRUE
10.228.0.0/14,Cisco EMEAR,Default:Labs,TRUE
64.103.0.0/16,Cisco EMEAR,Default:Labs,TRUE
144.254.0.0/16,Cisco EMEAR,Default:Labs,TRUE
216.128.32.0/20,Cisco EMEAR,Default:Labs,TRUE
10.124.0.0/15,Cisco China,Default:Labs,TRUE
10.225.32.0/19,Cisco China,Default:Labs,TRUE
10.128.0.0/10,Cisco Global Voice and Data,Default:Labs,TRUE
10.112.0.0/16,Cisco WAN,Default:Labs,TRUE
10.236.0.0/15,Cisco DMZ,Default:Labs,TRUE
10.114.0.0/17,Cisco Extranet,Default:Labs,TRUE
10.200.32.0/19,Cisco Extranet,Default:Labs,TRUE
10.102.0.0/16,Cisco Guestnet,Default:Labs,TRUE
10.103.0.0/17,Cisco Guestnet,Default:Labs,TRUE
10.103.128.0/17,Cisco Guestnet,Default:Labs,TRUE
128.107.0.0/16,Cisco Guestnet,Default:Labs,TRUE
10.192.0.0/16,Cisco Reserved,Default:Labs,TRUE
10.200.128.0/17,Cisco Reserved,Default:Labs,TRUE
10.202.0.0/15,Cisco Reserved,Default:Labs,TRUE
10.238.0.0/15,Cisco Reserved,Default:Labs,TRUE
